,FSU,Sector,NSS-region,State,District,Stratum,Sub-stratum,Sub round,FOD sub region,Sample HHID,PersonID,RelationToHead,Gender,Age,MaritalStatus,Education,PrincipleActivity,IndustryOfWork,NSC,MULT
3045,20124,2,11,1,07,02,01,2,0110,01,1,1,1,23,1,3,51,41,4,27029
3046,20124,2,11,1,07,02,01,2,0110,01,2,8,1,21,1,6,51,41,4,27029
3047,20124,2,11,1,07,02,01,2,0110,02,1,1,2,40,3,6,92,0,4,27029
3048,20124,2,11,1,07,02,01,2,0110,02,2,5,1,27,1,11,11,47,4,27029
3049,20124,2,11,1,07,02,01,2,0110,02,3,5,1,23,1,11,11,47,4,27029
3050,20124,2,11,1,07,02,01,2,0110,02,4,5,2,25,1,6,91,0,4,27029
3051,20124,2,11,1,07,02,01,2,0110,03,1,1,1,64,2,12,94,0,4,27029
3052,20124,2,11,1,07,02,01,2,0110,03,2,2,2,60,2,12,94,0,4,27029
3053,20124,2,11,1,07,02,01,2,0110,03,3,5,2,27,1,11,91,0,4,27029
3054,20124,2,11,1,07,02,01,2,0110,03,4,5,2,24,1,11,91,0,4,27029
3055,20124,2,11,1,07,02,01,2,0110,04,1,1,2,48,2,5,94,0,4,27029
3056,20124,2,11,1,07,02,01,2,0110,04,2,5,1,18,1,5,91,0,4,27029
3057,20124,2,11,1,07,02,01,2,0110,04,3,5,2,21,1,7,91,0,4,27029
3058,20124,2,11,1,07,02,01,2,0110,05,1,1,1,34,2,11,31,11,4,27029
3059,20124,2,11,1,07,02,01,2,0110,05,2,2,2,30,2,12,31,85,4,27029
3060,20124,2,11,1,07,02,01,2,0110,05,3,5,2,7,1,2,91,0,4,27029
3061,20124,2,11,1,07,02,01,2,0110,06,1,1,1,64,2,12,94,0,4,27029
3062,20124,2,11,1,07,02,01,2,0110,06,2,2,2,50,2,5,92,0,4,27029
3063,20124,2,11,1,07,02,01,2,0110,06,3,5,1,32,1,12,31,18,4,27029
3064,20124,2,11,1,07,02,01,2,0110,06,4,5,2,16,1,6,91,0,4,27029
3065,20124,2,11,1,07,02,01,2,0110,07,1,1,1,57,2,5,11,47,4,27029
3066,20124,2,11,1,07,02,01,2,0110,07,2,2,2,52,2,5,92,0,4,27029
3067,20124,2,11,1,07,02,01,2,0110,07,3,5,1,30,1,12,11,47,4,27029
3068,20124,2,11,1,07,02,01,2,0110,07,4,5,1,25,1,11,91,0,4,27029
3069,20124,2,11,1,07,02,01,2,0110,08,1,1,1,46,2,12,31,86,4,27029
3070,20124,2,11,1,07,02,01,2,0110,08,2,2,2,40,2,12,31,85,4,27029
3071,20124,2,11,1,07,02,01,2,0110,08,3,5,1,10,1,3,91,0,4,27029
3072,20124,2,11,1,07,02,01,2,0110,09,1,1,1,27,1,5,51,41,4,27029
3073,20124,2,11,1,07,02,01,2,0110,10,1,1,1,39,2,11,31,86,4,27029
3074,20124,2,11,1,07,02,01,2,0110,10,2,2,2,38,2,12,31,85,4,27029
3075,20124,2,11,1,07,02,01,2,0110,10,3,5,1,6,1,2,91,0,4,27029
3076,20124,2,11,1,07,02,01,2,0110,10,4,5,2,8,1,2,91,0,4,27029
3077,20124,2,11,1,07,02,01,2,0110,11,1,1,1,63,2,12,94,0,4,27029
3078,20124,2,11,1,07,02,01,2,0110,11,2,2,2,57,2,6,92,0,4,27029
3079,20124,2,11,1,07,02,01,2,0110,11,3,5,1,28,1,1,95,0,4,27029
3080,20124,2,11,1,07,02,01,2,0110,11,4,5,2,24,1,11,91,0,4,27029
3081,20124,2,11,1,07,02,01,2,0110,12,1,1,1,64,2,12,94,0,4,27029
3082,20124,2,11,1,07,02,01,2,0110,12,2,2,2,52,2,4,92,0,4,27029
3083,20124,2,11,1,07,02,01,2,0110,12,3,5,1,24,1,6,91,0,4,27029
3084,20124,2,11,1,07,02,01,2,0110,12,4,5,1,17,1,6,91,0,4,27029
3085,20124,2,11,1,07,02,01,2,0110,12,5,5,2,28,1,12,31,47,4,27029
3086,20124,2,11,1,07,02,01,2,0110,13,1,1,1,32,2,6,31,47,4,27029
3087,20124,2,11,1,07,02,01,2,0110,13,2,2,2,32,2,6,93,0,4,27029
3088,20124,2,11,1,07,02,01,2,0110,13,3,5,1,11,1,3,91,0,4,27029
3089,20124,2,11,1,07,02,01,2,0110,13,4,5,1,8,1,2,91,0,4,27029
3090,20124,2,11,1,07,02,01,2,0110,14,1,1,2,30,2,6,94,0,4,27029
3091,20124,2,11,1,07,02,01,2,0110,14,2,5,1,6,1,2,91,0,4,27029
3092,20124,2,11,1,07,02,01,2,0110,14,3,5,2,12,1,4,91,0,4,27029
3093,20275,2,11,1,07,02,01,1,0110,01,1,1,1,50,2,11,31,66,4,74800
3094,20275,2,11,1,07,02,01,1,0110,01,2,2,2,47,2,12,31,85,4,74800
3095,20275,2,11,1,07,02,01,1,0110,01,3,6,1,18,1,7,91,0,4,74800
3096,20275,2,11,1,07,02,01,1,0110,02,1,1,1,54,2,5,94,0,4,74800
3097,20275,2,11,1,07,02,01,1,0110,02,2,2,2,44,2,6,92,0,4,74800
3098,20275,2,11,1,07,02,01,1,0110,02,3,5,2,23,1,12,91,0,4,74800
3099,20275,2,11,1,07,02,01,1,0110,03,1,1,1,45,2,6,31,80,4,74800
3100,20275,2,11,1,07,02,01,1,0110,03,2,2,2,37,2,6,92,0,4,74800
3101,20275,2,11,1,07,02,01,1,0110,03,3,5,1,13,1,4,91,0,4,74800
3102,20275,2,11,1,07,02,01,1,0110,03,4,5,2,18,1,5,91,0,4,74800
3103,20275,2,11,1,07,02,01,1,0110,04,1,1,1,38,2,5,94,0,4,74800
3104,20275,2,11,1,07,02,01,1,0110,04,2,2,2,32,2,5,92,0,4,74800
3105,20275,2,11,1,07,02,01,1,0110,04,3,5,1,10,1,2,91,0,4,74800
3106,20275,2,11,1,07,02,01,1,0110,05,1,1,2,32,2,5,92,0,4,74800
3107,20275,2,11,1,07,02,01,1,0110,05,2,5,1,9,1,2,91,0,4,74800
3108,20275,2,11,1,07,02,01,1,0110,05,3,5,1,5,1,2,0,0,4,74800
3109,20275,2,11,1,07,02,01,1,0110,06,1,1,2,70,3,5,92,0,4,74800
3110,20275,2,11,1,07,02,01,1,0110,06,2,3,1,49,2,11,11,56,4,74800
3111,20275,2,11,1,07,02,01,1,0110,06,3,4,2,42,2,6,92,0,4,74800
3112,20275,2,11,1,07,02,01,1,0110,06,4,6,1,17,1,5,91,0,4,74800
3113,20275,2,11,1,07,02,01,1,0110,06,5,6,2,19,1,6,91,0,4,74800
3114,20275,2,11,1,07,02,01,1,0110,06,6,3,1,44,2,1,11,55,4,74800
3115,20275,2,11,1,07,02,01,1,0110,06,7,4,2,41,2,6,92,0,4,74800
3116,20275,2,11,1,07,02,01,1,0110,06,8,6,1,11,1,2,91,0,4,74800
3117,20275,2,11,1,07,02,01,1,0110,06,9,6,2,5,1,2,0,0,4,74800
3118,20275,2,11,1,07,02,01,1,0110,07,1,1,1,69,2,3,93,0,4,74800
3119,20275,2,11,1,07,02,01,1,0110,07,2,2,2,62,2,1,93,0,4,74800
3120,20275,2,11,1,07,02,01,1,0110,07,3,3,1,39,2,11,41,41,4,74800
3121,20275,2,11,1,07,02,01,1,0110,07,4,4,2,27,2,6,92,0,4,74800
3122,20275,2,11,1,07,02,01,1,0110,07,5,6,1,2,1,1,0,0,4,74800
3123,20275,2,11,1,07,02,01,1,0110,07,6,6,2,5,1,2,0,0,4,74800
3124,20275,2,11,1,07,02,01,1,0110,08,1,1,1,38,2,6,11,56,4,74800
3125,20275,2,11,1,07,02,01,1,0110,08,2,2,2,32,2,6,92,0,4,74800
3126,20275,2,11,1,07,02,01,1,0110,08,3,5,2,8,1,2,91,0,4,74800
3127,20275,2,11,1,07,02,01,1,0110,08,4,8,1,34,2,12,21,56,4,74800
3128,20275,2,11,1,07,02,01,1,0110,08,5,8,2,30,2,12,92,0,4,74800
3129,20275,2,11,1,07,02,01,1,0110,08,6,8,2,4,1,1,0,0,4,74800
3130,20275,2,11,1,07,02,01,1,0110,08,7,8,2,3,1,1,0,0,4,74800
3131,20275,2,11,1,07,02,01,1,0110,09,1,1,1,59,2,4,31,80,4,74800
3132,20275,2,11,1,07,02,01,1,0110,09,2,2,2,57,2,2,92,0,4,74800
3133,20275,2,11,1,07,02,01,1,0110,09,3,3,1,34,2,5,51,49,4,74800
3134,20275,2,11,1,07,02,01,1,0110,09,4,4,2,26,2,4,92,0,4,74800
3135,20275,2,11,1,07,02,01,1,0110,09,5,6,1,2,1,1,0,0,4,74800
3136,20275,2,11,1,07,02,01,1,0110,09,6,6,2,0,1,1,0,0,4,74800
3137,20275,2,11,1,07,02,01,1,0110,10,1,1,1,49,2,11,31,82,4,74800
3138,20275,2,11,1,07,02,01,1,0110,10,2,2,2,46,2,11,92,0,4,74800
3139,20275,2,11,1,07,02,01,1,0110,10,3,5,1,21,1,11,91,0,4,74800
3140,20275,2,11,1,07,02,01,1,0110,11,1,1,1,50,2,12,11,8,4,74800
3141,20275,2,11,1,07,02,01,1,0110,11,2,2,2,45,2,11,92,0,4,74800
3142,20275,2,11,1,07,02,01,1,0110,11,3,5,1,15,1,4,91,0,4,74800
3143,20275,2,11,1,07,02,01,1,0110,12,1,1,1,55,2,8,31,60,4,74800
3144,20275,2,11,1,07,02,01,1,0110,13,1,1,1,30,1,3,31,96,4,74800
3145,20275,2,11,1,07,02,01,1,0110,14,1,1,1,40,2,6,11,47,4,74800
3146,20275,2,11,1,07,02,01,1,0110,14,2,2,2,33,2,11,92,0,4,74800
3147,20275,2,11,1,07,02,01,1,0110,14,3,5,1,10,1,2,91,0,4,74800
3148,20275,2,11,1,07,02,01,1,0110,14,4,5,2,7,1,2,91,0,4,74800
3149,20639,2,14,1,04,01,01,1,0120,01,1,1,1,28,1,11,11,56,4,18550
3150,20639,2,14,1,04,01,01,1,0120,02,1,1,1,37,2,11,31,41,4,18550
3151,20639,2,14,1,04,01,01,1,0120,02,2,2,2,35,2,5,92,0,4,18550
3152,20639,2,14,1,04,01,01,1,0120,02,3,5,1,2,1,1,0,0,4,18550
3153,20639,2,14,1,04,01,01,1,0120,02,4,5,2,4,1,1,0,0,4,18550
3154,20639,2,14,1,04,01,01,1,0120,03,1,1,1,62,2,5,93,0,4,18550
3155,20639,2,14,1,04,01,01,1,0120,03,2,2,2,60,2,1,97,0,4,18550
3156,20639,2,14,1,04,01,01,1,0120,03,3,3,1,35,2,11,11,47,4,18550
3157,20639,2,14,1,04,01,01,1,0120,03,4,4,2,32,2,6,92,0,4,18550
3158,20639,2,14,1,04,01,01,1,0120,03,5,6,1,8,1,2,91,0,4,18550
3159,20639,2,14,1,04,01,01,1,0120,03,6,6,1,5,1,1,0,0,4,18550
3160,20639,2,14,1,04,01,01,1,0120,03,7,5,1,32,1,12,31,85,4,18550
3161,20639,2,14,1,04,01,01,1,0120,04,1,1,2,38,1,2,11,13,4,18550
3162,20639,2,14,1,04,01,01,1,0120,05,1,1,1,38,2,1,11,41,4,18550
3163,20639,2,14,1,04,01,01,1,0120,05,2,2,2,37,2,1,92,0,4,18550
3164,20639,2,14,1,04,01,01,1,0120,05,3,5,1,20,1,6,91,0,4,18550
3165,20639,2,14,1,04,01,01,1,0120,05,4,5,1,16,1,5,91,0,4,18550
3166,20639,2,14,1,04,01,01,1,0120,06,1,1,1,29,2,5,11,68,4,18550
3167,20639,2,14,1,04,01,01,1,0120,06,2,2,2,28,2,1,92,0,4,18550
3168,20639,2,14,1,04,01,01,1,0120,06,3,5,1,4,1,1,0,0,4,18550
3169,20639,2,14,1,04,01,01,1,0120,06,4,5,2,16,1,4,91,0,4,18550
3170,20639,2,14,1,04,01,01,1,0120,07,1,1,1,34,2,6,31,36,4,18550
3171,20639,2,14,1,04,01,01,1,0120,07,2,2,2,32,2,5,92,0,4,18550
3172,20639,2,14,1,04,01,01,1,0120,07,3,5,1,4,1,1,0,0,4,18550
3173,20639,2,14,1,04,01,01,1,0120,07,4,5,2,2,1,1,0,0,4,18550
3174,20639,2,14,1,04,01,01,1,0120,07,5,7,2,50,3,1,97,0,4,18550
3175,20639,2,14,1,04,01,01,1,0120,08,1,1,1,49,2,8,31,42,4,18550
3176,20639,2,14,1,04,01,01,1,0120,08,2,2,2,53,2,1,92,0,4,18550
3177,20639,2,14,1,04,01,01,1,0120,08,3,5,1,23,1,12,81,0,4,18550
3178,20639,2,14,1,04,01,01,1,0120,08,4,5,2,17,1,5,91,0,4,18550
3179,20639,2,14,1,04,01,01,1,0120,09,1,1,1,34,2,4,11,41,4,18550
3180,20639,2,14,1,04,01,01,1,0120,09,2,2,2,32,2,1,92,0,4,18550
3181,20639,2,14,1,04,01,01,1,0120,09,3,5,2,13,1,3,91,0,4,18550
3182,20639,2,14,1,04,01,01,1,0120,10,1,1,1,37,2,4,31,84,4,18550
3183,20639,2,14,1,04,01,01,1,0120,10,2,2,2,33,2,4,92,0,4,18550
3184,20639,2,14,1,04,01,01,1,0120,10,3,5,1,13,1,3,91,0,4,18550
3185,20639,2,14,1,04,01,01,1,0120,10,4,5,2,9,1,2,91,0,4,18550
3186,20639,2,14,1,04,01,01,1,0120,11,1,1,1,65,3,6,94,0,4,18550
3187,20639,2,14,1,04,01,01,1,0120,11,2,3,1,30,2,4,11,49,4,18550
3188,20639,2,14,1,04,01,01,1,0120,11,3,4,2,28,2,2,92,0,4,18550
3189,20639,2,14,1,04,01,01,1,0120,11,4,6,2,0,1,1,0,0,4,18550
3190,20639,2,14,1,04,01,01,1,0120,12,1,1,1,37,2,5,11,47,4,18550
3191,20639,2,14,1,04,01,01,1,0120,12,2,2,2,34,2,4,92,0,4,18550
3192,20639,2,14,1,04,01,01,1,0120,12,3,5,1,5,1,1,0,0,4,18550
3193,20639,2,14,1,04,01,01,1,0120,12,4,5,2,11,1,2,91,0,4,18550
3194,20639,2,14,1,04,01,01,1,0120,13,1,1,1,50,2,1,11,90,4,18550
3195,20639,2,14,1,04,01,01,1,0120,13,2,2,2,49,2,4,92,0,4,18550
3196,20639,2,14,1,04,01,01,1,0120,13,3,5,1,11,1,1,91,0,4,18550
3197,20639,2,14,1,04,01,01,1,0120,13,4,5,1,5,1,1,0,0,4,18550
3198,20639,2,14,1,04,01,01,1,0120,14,1,1,1,28,2,4,11,47,4,18550
3199,20639,2,14,1,04,01,01,1,0120,14,2,2,2,27,2,2,92,0,4,18550
3200,20705,2,12,1,20,01,01,3,0111,01,1,1,1,32,2,4,11,45,4,72738
3201,20705,2,12,1,20,01,01,3,0111,01,2,2,2,22,2,5,92,0,4,72738
3202,20705,2,12,1,20,01,01,3,0111,01,3,9,1,50,2,4,31,45,4,72738
3203,20705,2,12,1,20,01,01,3,0111,01,4,5,1,14,1,4,91,0,4,72738
3204,20705,2,12,1,20,01,01,3,0111,02,1,1,2,57,3,3,31,35,4,72738
3205,20705,2,12,1,20,01,01,3,0111,02,2,5,1,25,1,5,81,0,4,72738
3206,20705,2,12,1,20,01,01,3,0111,03,1,1,1,47,2,4,31,36,4,72738
3207,20705,2,12,1,20,01,01,3,0111,03,2,2,2,32,2,4,92,0,4,72738
3208,20705,2,12,1,20,01,01,3,0111,03,3,5,1,3,1,1,0,0,4,72738
3209,20705,2,12,1,20,01,01,3,0111,03,4,5,2,2,1,1,0,0,4,72738
3210,20705,2,12,1,20,01,01,3,0111,04,1,1,2,70,3,5,92,0,4,72738
3211,20705,2,12,1,20,01,01,3,0111,04,2,3,1,50,2,11,11,47,4,72738
3212,20705,2,12,1,20,01,01,3,0111,04,3,4,2,45,2,11,92,0,4,72738
3213,20705,2,12,1,20,01,01,3,0111,04,4,6,2,17,1,5,91,0,4,72738
3214,20705,2,12,1,20,01,01,3,0111,04,5,6,1,16,1,5,91,0,4,72738
3215,20705,2,12,1,20,01,01,3,0111,04,6,6,1,5,1,2,0,0,4,72738
3216,20705,2,12,1,20,01,01,3,0111,05,1,1,1,69,2,3,11,47,4,72738
3217,20705,2,12,1,20,01,01,3,0111,05,2,2,2,64,2,4,92,0,4,72738
3218,20705,2,12,1,20,01,01,3,0111,06,1,1,2,90,3,3,92,0,4,72738
3219,20705,2,12,1,20,01,01,3,0111,07,1,1,1,65,2,4,94,0,4,72738
3220,20705,2,12,1,20,01,01,3,0111,07,2,2,2,55,2,5,92,0,4,72738
3221,20705,2,12,1,20,01,01,3,0111,07,3,3,1,33,2,6,11,47,4,72738
3222,20705,2,12,1,20,01,01,3,0111,07,4,4,2,30,2,6,92,0,4,72738
3223,20705,2,12,1,20,01,01,3,0111,07,5,6,1,3,1,1,0,0,4,72738
3224,20705,2,12,1,20,01,01,3,0111,07,6,6,2,5,1,1,0,0,4,72738
3225,20705,2,12,1,20,01,01,3,0111,07,7,5,1,27,1,6,11,47,4,72738
3226,20705,2,12,1,20,01,01,3,0111,08,1,1,2,55,2,5,92,0,4,72738
3227,20705,2,12,1,20,01,01,3,0111,08,2,3,1,30,2,12,11,56,4,72738
3228,20705,2,12,1,20,01,01,3,0111,08,3,4,2,25,2,12,92,0,4,72738
3229,20705,2,12,1,20,01,01,3,0111,08,4,6,2,1,1,1,0,0,4,72738
3230,20705,2,12,1,20,01,01,3,0111,09,1,1,2,68,3,2,92,0,4,72738
3231,20705,2,12,1,20,01,01,3,0111,09,2,3,1,43,2,5,11,47,4,72738
3232,20705,2,12,1,20,01,01,3,0111,09,3,4,2,30,2,4,92,0,4,72738
3233,20705,2,12,1,20,01,01,3,0111,09,4,6,2,2,1,1,0,0,4,72738
3234,20705,2,12,1,20,01,01,3,0111,10,1,1,2,42,3,5,31,85,4,72738
3235,20705,2,12,1,20,01,01,3,0111,10,2,5,2,14,1,4,91,0,4,72738
3236,20705,2,12,1,20,01,01,3,0111,11,1,1,1,53,2,5,11,47,4,72738
3237,20705,2,12,1,20,01,01,3,0111,11,2,2,2,45,2,5,92,0,4,72738
3238,20705,2,12,1,20,01,01,3,0111,11,3,5,1,19,1,5,91,0,4,72738
3239,20705,2,12,1,20,01,01,3,0111,11,4,5,1,17,1,5,91,0,4,72738
3240,20705,2,12,1,20,01,01,3,0111,12,1,1,1,36,2,4,31,47,4,72738
3241,20705,2,12,1,20,01,01,3,0111,12,2,2,2,32,2,1,92,0,4,72738
3242,20705,2,12,1,20,01,01,3,0111,12,3,5,2,11,1,2,91,0,4,72738
3243,20705,2,12,1,20,01,01,3,0111,12,4,5,2,10,1,2,91,0,4,72738
3244,20705,2,12,1,20,01,01,3,0111,12,5,5,2,5,1,2,0,0,4,72738
3245,20705,2,12,1,20,01,01,3,0111,13,1,1,2,70,3,3,92,0,4,72738
3246,20705,2,12,1,20,01,01,3,0111,13,2,3,1,56,2,4,11,47,4,72738
3247,20705,2,12,1,20,01,01,3,0111,13,3,4,2,42,2,1,92,0,4,72738
3248,20705,2,12,1,20,01,01,3,0111,13,4,6,1,16,1,5,91,0,4,72738
3249,20705,2,12,1,20,01,01,3,0111,13,5,6,2,15,1,4,91,0,4,72738
3250,20705,2,12,1,20,01,01,3,0111,13,6,6,2,1,1,1,0,0,4,72738
3251,20705,2,12,1,20,01,01,3,0111,14,1,1,1,62,2,6,11,47,4,72738
3252,20705,2,12,1,20,01,01,3,0111,14,2,2,2,57,2,5,92,0,4,72738
3253,20705,2,12,1,20,01,01,3,0111,14,3,3,1,36,2,11,31,78,4,72738
3254,20705,2,12,1,20,01,01,3,0111,14,4,4,2,32,2,12,92,0,4,72738
3255,20705,2,12,1,20,01,01,3,0111,14,5,6,2,4,1,1,0,0,4,72738
3256,21075,2,13,1,10,03,02,3,0120,01,1,1,1,89,2,4,97,0,3,282024
3257,21075,2,13,1,10,03,02,3,0120,01,2,2,2,62,2,1,97,0,3,282024
3258,21075,2,13,1,10,03,02,3,0120,01,3,3,1,49,2,11,11,47,3,282024
3259,21075,2,13,1,10,03,02,3,0120,01,4,4,2,43,2,11,92,0,3,282024
3260,21075,2,13,1,10,03,02,3,0120,01,5,6,2,10,1,2,91,0,3,282024
3261,21075,2,13,1,10,03,02,3,0120,01,6,3,1,43,2,4,11,47,3,282024
3262,21075,2,13,1,10,03,02,3,0120,01,7,4,2,40,2,4,92,0,3,282024
3263,21075,2,13,1,10,03,02,3,0120,01,8,6,2,7,1,2,91,0,3,282024
3264,21075,2,13,1,10,03,02,3,0120,01,9,6,2,4,1,1,0,0,3,282024
3265,21075,2,13,1,10,03,02,3,0120,02,1,1,1,45,4,4,11,47,3,282024
3266,21075,2,13,1,10,03,02,3,0120,02,2,8,1,34,2,2,11,47,3,282024
3267,21075,2,13,1,10,03,02,3,0120,02,3,8,2,32,2,6,92,0,3,282024
3268,21075,2,13,1,10,03,02,3,0120,03,1,1,1,55,2,5,31,37,3,282024
3269,21075,2,13,1,10,03,02,3,0120,03,2,2,2,50,2,4,92,0,3,282024
3270,21075,2,13,1,10,03,02,3,0120,03,3,5,1,19,1,6,91,0,3,282024
3271,21075,2,13,1,10,03,02,3,0120,04,1,1,1,48,2,4,11,13,3,282024
3272,21075,2,13,1,10,03,02,3,0120,04,2,2,2,45,2,5,92,0,3,282024
3273,21075,2,13,1,10,03,02,3,0120,04,3,5,2,11,1,2,91,0,3,282024
3274,21075,2,13,1,10,03,02,3,0120,04,4,5,2,7,1,2,91,0,3,282024
3275,21075,2,13,1,10,03,02,3,0120,05,1,1,1,52,2,11,11,47,3,282024
3276,21075,2,13,1,10,03,02,3,0120,05,2,2,2,44,2,11,92,0,3,282024
3277,21075,2,13,1,10,03,02,3,0120,05,3,5,1,11,1,2,91,0,3,282024
3278,21075,2,13,1,10,03,02,3,0120,05,4,5,2,20,1,6,91,0,3,282024
3279,21075,2,13,1,10,03,02,3,0120,05,5,5,2,16,1,5,91,0,3,282024
3280,21075,2,13,1,10,03,02,3,0120,06,1,1,1,65,2,11,94,0,3,282024
3281,21075,2,13,1,10,03,02,3,0120,06,2,2,2,62,2,5,92,0,3,282024
3282,21075,2,13,1,10,03,02,3,0120,06,3,3,1,33,2,6,11,66,3,282024
3283,21075,2,13,1,10,03,02,3,0120,06,4,4,2,30,2,5,92,0,3,282024
3284,21075,2,13,1,10,03,02,3,0120,06,5,6,1,2,1,1,0,0,3,282024
3285,21075,2,13,1,10,03,02,3,0120,06,6,6,2,4,1,1,0,0,3,282024
3286,21075,2,13,1,10,03,02,3,0120,07,1,1,1,35,2,11,31,69,3,282024
3287,21075,2,13,1,10,03,02,3,0120,07,2,2,2,32,2,5,92,0,3,282024
3288,21075,2,13,1,10,03,02,3,0120,07,3,5,2,8,1,2,91,0,3,282024
3289,21075,2,13,1,10,03,02,3,0120,07,4,5,2,3,1,1,0,0,3,282024
3290,21075,2,13,1,10,03,02,3,0120,07,5,7,2,69,3,1,97,0,3,282024
3291,21075,2,13,1,10,03,02,3,0120,08,1,1,1,65,2,5,94,0,3,282024
3292,21075,2,13,1,10,03,02,3,0120,08,2,2,2,60,2,4,92,0,3,282024
3293,21075,2,13,1,10,03,02,3,0120,08,3,3,1,40,2,11,11,13,3,282024
3294,21075,2,13,1,10,03,02,3,0120,08,4,4,2,35,2,12,11,85,3,282024
3295,21075,2,13,1,10,03,02,3,0120,08,5,6,1,3,1,1,0,0,3,282024
3296,21075,2,13,1,10,03,02,3,0120,08,6,3,1,35,2,10,11,62,3,282024
3297,21075,2,13,1,10,03,02,3,0120,08,7,4,2,30,2,11,92,0,3,282024
3298,21075,2,13,1,10,03,02,3,0120,08,8,6,2,4,1,1,0,0,3,282024
3299,21075,2,13,1,10,03,02,3,0120,09,1,1,1,52,2,4,11,49,3,282024
3300,21075,2,13,1,10,03,02,3,0120,09,2,2,2,50,2,3,92,0,3,282024
3301,21075,2,13,1,10,03,02,3,0120,09,3,5,1,27,1,11,11,46,3,282024
3302,21075,2,13,1,10,03,02,3,0120,09,4,5,1,25,1,6,11,46,3,282024
3303,21075,2,13,1,10,03,02,3,0120,10,1,1,1,45,2,11,11,45,3,282024
3304,21075,2,13,1,10,03,02,3,0120,10,2,2,2,40,2,11,92,0,3,282024
3305,21075,2,13,1,10,03,02,3,0120,10,3,5,1,5,1,1,0,0,3,282024
3306,21075,2,13,1,10,03,02,3,0120,10,4,5,2,5,1,1,0,0,3,282024
3307,21075,2,13,1,10,03,02,3,0120,11,1,1,1,67,2,11,94,0,3,282024
